;  
; XRS FM-1 Calibration File = xrs_fm1_responsivity_renormalize.dat
; Generated by xrs_responsivity_make_file.pro using a FLAT spectrum.
;  
; Integrated Resposivity (IntegR) is used to convert XRS signal 
;    in Amps to Watts/m^2 as follows: 
;            Irradiance_W_per_m2 = Signal_Amps / IntegR_Amps_m2_per_W
;    XRS A1 IntegR = 9.6150000e-06
;    XRS A2 IntegR = 5.0636203e-07
;    XRS B1 IntegR = 1.4690000e-05
;    XRS B2 IntegR = 7.7616903e-07
;  
; Aperture Area for the XRS channels are:
;    XRS A1 Area = 0.80946551 cm^2
;    XRS A2 Area = 0.040307721 cm^2
;    XRS B1 Area = 0.80946551 cm^2
;    XRS B2 Area = 0.040024905 cm^2
;  
; Data in this file are Responsivity (in Amp/Watt) 
;    as a function of wavelength (in Angstroms).
;  
FORMAT = (F7.3,4E12.3)
 172 lines : xrs_fm1_responsivity_renormalize.dat created on Thu Feb 20 10:02:03 2020
 5 columns : XRS FM-1 calibration: Wavelength (Ang), A1, A2, B1, B2 Responsivity in units of Amps/Watt
 10.163   4.791E-15   3.245E-15   1.034E-02   1.117E-02
 10.439   3.484E-16   2.273E-16   7.885E-03   8.525E-03
 10.720   2.050E-17   1.284E-17   5.883E-03   6.367E-03
 11.011   9.514E-19   5.704E-19   4.282E-03   4.640E-03
 11.308   3.424E-20   1.958E-20   3.036E-03   3.294E-03
 11.614   9.363E-22   5.084E-22   2.092E-03   2.273E-03
 11.928   1.907E-23   9.795E-24   1.399E-03   1.522E-03
 12.251   2.799E-25   1.353E-25   9.040E-04   9.852E-04
 12.582   2.849E-27   1.290E-27   5.625E-04   6.141E-04
 12.923   1.955E-29   8.238E-30   3.360E-04   3.676E-04
 13.272   9.057E-32   3.534E-32   1.927E-04   2.113E-04
 13.631   2.895E-34   1.040E-34   1.064E-04   1.169E-04
 14.000   6.107E-37   2.010E-37   5.625E-05   6.195E-05
 14.379   7.771E-40   2.324E-40   2.823E-05   3.117E-05
 14.768   5.405E-43   1.457E-43   1.331E-05   1.474E-05
 15.167   1.986E-46   4.778E-47   5.873E-06   6.523E-06
 15.577   3.763E-50   8.009E-51   2.421E-06   2.697E-06
 15.999   3.568E-54   6.651E-55   9.286E-07   1.039E-06
 16.431   1.658E-58   2.679E-59   3.309E-07   3.715E-07
 16.876   3.427E-63   4.744E-64   1.085E-07   1.223E-07
 17.332   2.917E-68   3.416E-69   3.243E-08   3.673E-08
 17.801   1.764E-73   1.740E-74   9.360E-09   1.065E-08
 18.283   6.244E-79   5.143E-80   2.556E-09   2.922E-09
 18.777   2.217E-85   1.476E-86   5.502E-10   6.327E-10
 19.285   1.635E-92   8.608E-94   1.007E-10   1.165E-10
 19.806  6.057E-100  2.495E-101   1.716E-11   1.999E-11
 20.342  8.711E-108  2.771E-109   2.651E-12   3.110E-12
 20.892  3.093E-116  7.445E-118   3.545E-13   4.190E-13
 21.457  2.268E-125  4.039E-127   4.027E-14   4.799E-14
 22.038  2.693E-135  3.457E-137   3.790E-15   4.556E-15
 22.634  7.388E-146  6.695E-148   3.065E-16   3.719E-16
 23.246  5.222E-157  3.275E-159   2.177E-17   2.668E-17
 23.875  4.326E-169  1.821E-171   1.227E-18   1.520E-18
 24.520  3.583E-182  9.798E-185   5.449E-20   6.830E-20
 25.183  2.797E-196  4.803E-199   1.896E-21   2.406E-21
 25.865  1.701E-211  1.769E-214   5.066E-23   6.519E-23
 26.564  6.785E-228  4.107E-231   1.022E-24   1.334E-24
 27.283  1.476E-245  4.989E-249   1.525E-26   2.023E-26
 28.021  1.561E-264  2.822E-268   1.665E-28   2.246E-28
 28.779  6.009E-285  5.540E-289   1.291E-30   1.773E-30
 29.557  6.225E-307  2.779E-311   6.887E-33   9.649E-33
 30.357   0.000E+00   0.000E+00   2.440E-35   3.492E-35
 31.177   0.000E+00   0.000E+00   5.684E-38   8.320E-38
 32.020   0.000E+00   0.000E+00   1.035E-40   1.551E-40
 32.887   0.000E+00   0.000E+00   1.442E-43   2.215E-43
 33.777   0.000E+00   0.000E+00   1.298E-46   2.046E-46
 34.690   0.000E+00   0.000E+00   7.069E-50   1.147E-49
 35.628   0.000E+00   0.000E+00   2.236E-53   3.738E-53
 36.592   0.000E+00   0.000E+00   3.948E-57   6.817E-57
 37.581   0.000E+00   0.000E+00   3.745E-61   6.695E-61
 38.598   0.000E+00   0.000E+00   1.820E-65   3.376E-65
 39.642   0.000E+00   0.000E+00   4.181E-70   8.074E-70
